key,value
<label|Test Bench>,4W 203 B4
<label|Unit Name>,AEWB
<label|Unit HW Version>,X31
<label|TRX Module Version>,x32
<label|Antenna Module Version>,x32
<label|RFM SW Version>,5GH49.R04.03
<label|Malli FPGA Image>,v42
<label|Antenna FPGA Image>,0.3.0
<label|Carrier Configuration>,Single
<label|Test Date>,date 
<label|Test Temperature>,ROOM
<label|Az. Beam Position>,0_deg
<label|El. Beam Position>,0_deg
<label|Instrument>,TCPIP::192.168.255.200::inst0::INSTR
<label|Testbench Correction>,bench4_7jun.s2p
<label|Measured Antenna Gain>,21
<label|Radio Antenna Gain>,29.1
<label|RF Start>,37
<label|RF Stop>,40
